ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
12342070,JE201565,4/16/2021 16:30,059XX W MADISON ST,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1513,15,29,25,14,1136794,1899400,2021,4/23/2021 16:51,41.88011037,-87.77317467,"(41.880110365, -87.773174665)"
12342116,JE201623,4/16/2021 22:50,083XX S DORCHESTER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,412,4,8,45,08B,1186992,1849848,2021,4/23/2021 16:51,41.74308937,-87.59042798,"(41.74308937, -87.590427982)"
12345588,JE205881,3/24/2021 0:01,004XX N NOBLE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1215,12,27,24,6,1166982,1903074,2021,4/23/2021 16:49,41.88959792,-87.66222218,"(41.889597924, -87.662222177)"
12342598,JE202262,4/16/2021 22:00,010XX W FULTON MARKET,460,BATTERY,SIMPLE,RESTAURANT,FALSE,FALSE,1214,12,27,28,08B,1169647,1902052,2021,4/23/2021 16:51,41.88673587,-87.652465,"(41.886735874, -87.652465)"
12341988,JE201512,4/16/2021 19:47,067XX S OAKLEY AVE,560,ASSAULT,SIMPLE,RESIDENCE,TRUE,TRUE,832,8,17,66,08A,1162229,1859872,2021,4/23/2021 16:51,41.77114752,-87.68088217,"(41.771147521, -87.680882165)"
12543046,JE447686,11/14/2021 17:00,021XX N LAPORTE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2522,25,36,19,14,1143042,1913837,2021,11/21/2021 15:48,41.91961294,-87.7498719,"(41.919612941, -87.749871904)"
12014106,JD191408,3/20/2020 2:00,038XX N CLARK ST,420,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,APARTMENT,FALSE,FALSE,1923,19,44,6,04B,1167434,1925610,2020,3/27/2020 15:48,41.95142827,-87.65991234,"(41.951428273, -87.659912339)"
12345763,JE205883,3/12/2021 17:30,011XX W WINONA ST,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,FALSE,FALSE,2033,20,48,3,26,1167719,1934285,2021,4/23/2021 16:49,41.97522663,-87.65861358,"(41.97522663, -87.658613583)"
12343434,JE203177,4/16/2021 23:00,079XX S CARPENTER ST,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,612,6,17,71,08B,1170689,1852266,2021,4/23/2021 16:51,41.75009539,-87.65009227,"(41.750095387, -87.650092271)"
12014981,JD191510,3/20/2020 18:45,023XX N PARKSIDE AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,2515,25,36,19,08B,1138325,1915061,2020,3/27/2020 15:48,41.92305849,-87.76717341,"(41.923058491, -87.767173412)"
12542155,JE446646,11/14/2021 7:00,015XX S FAIRFIELD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,HOSPITAL BUILDING / GROUNDS,FALSE,TRUE,1023,10,28,29,26,1158297,1892717,2021,11/21/2021 15:48,41.86135928,-87.69440034,"(41.861359279, -87.694400341)"
